kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_azotonutricium,Treponema_azotonutricium_ZAS_9_uid67365,3858,Spirochaetes,Spirochaetales
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_brennaborense,Treponema_brennaborense_DSM_12168_uid66607,1891,Spirochaetes,Spirochaetales
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_denticola,Treponema_denticola_ATCC_35405_uid57583,2006,Spirochaetes,Spirochaetales
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_pallidum,Treponema_pallidum_Nichols_uid57585,3121,Spirochaetes,Spirochaetales
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_pallidum,Treponema_pallidum_SS14_uid58977,3123,Spirochaetes,Spirochaetales
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_paraluiscuniculi,Treponema_paraluiscuniculi_Cuniculi_A_uid68447,3124,Spirochaetes,Spirochaetales
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_primitia,Treponema_primitia_ZAS_2_uid67367,3125,Spirochaetes,Spirochaetales
Bacteria,Spirochaetes,Spirochaetia,Treponema,Treponema_succinifaciens,Treponema_succinifaciens_DSM_2489_uid65781,3126,Spirochaetes,Spirochaetales
Bacteria,Cyanobacteria,-,Trichodesmium,Trichodesmium_erythraeum,Trichodesmium_erythraeum_IMS101_uid57925,1171,Cyanobacteria,Oscillatoriales
Bacteria,Actinobacteria,Actinobacteria,Tropheryma,Tropheryma_whipplei,Tropheryma_whipplei_TW08_27_uid57961,3127,Actinobacteria,Actinomycetales
Bacteria,Actinobacteria,Actinobacteria,Tropheryma,Tropheryma_whipplei,Tropheryma_whipplei_Twist_uid57705,1172,Actinobacteria,Actinomycetales
Bacteria,-,Deinococci,Truepera,Truepera_radiovictrix,Truepera_radiovictrix_DSM_17093_uid49533,3128,Deinococci,Deinococcales
